Date,Price,Open,High,Low,Vol.,Change %
13-May-13,584.9,588.75,590.54,582.58,2.51M,-0.95
11-May-13,590.49,590.02,592.5,587.77,103.22K,-0.4
10-May-13,592.89,590.52,596.25,589.27,2.27M,0.43
9-May-13,590.35,587.98,592.23,587.5,2.28M,0.46
8-May-13,587.66,591.25,595,584.51,3.64M,0.08
7-May-13,587.2,587.5,588.75,581.19,3.49M,0.33
6-May-13,585.27,578.75,586.25,578.75,3.00M,1.44
3-May-13,576.99,574.19,581,569.55,4.56M,0.93
2-May-13,571.67,559,572.86,559,4.69M,2.29
30-Apr-13,558.86,558.5,560.59,555.55,4.42M,0.27
29-Apr-13,557.33,551.5,562.2,546.5,4.48M,0.78
26-Apr-13,553,555.02,559.45,550.62,5.56M,-0.7
25-Apr-13,556.92,562,562.5,555.79,6.88M,-1.53
23-Apr-13,565.56,562.5,567.65,561.1,3.93M,0.79
22-Apr-13,561.14,572.9,573.25,555.89,7.70M,-2.23
18-Apr-13,573.92,571.6,580.75,570.33,6.61M,0.52
17-Apr-13,570.96,575,577.99,562.5,7.57M,-0.54
16-Apr-13,574.06,579.75,581.5,571.75,7.15M,-1.83
15-Apr-13,584.76,572.5,589.25,551,33.28M,1.85
12-Apr-13,574.16,656.26,656.26,567.17,49.01M,-21.26
11-Apr-13,729.17,716.62,733.9,708.73,8.51M,3.59
10-Apr-13,703.91,700.75,706.95,694.06,3.28M,1.78
9-Apr-13,691.59,708.39,709.74,689.06,5.42M,-2.32
8-Apr-13,707.98,712.5,718.41,706.81,1.86M,-1.18
5-Apr-13,716.46,719.75,724.75,712.5,2.19M,-0.49
4-Apr-13,720.01,736.25,737.29,718.01,3.75M,-2.98
3-Apr-13,742.11,737.23,749.89,737,4.18M,-0.02
2-Apr-13,742.26,732.5,747.42,728.71,4.86M,0.84
1-Apr-13,736.05,727.69,738.39,727.69,3.71M,1.9
28-Mar-13,722.34,716.25,724.24,712.8,6.17M,1.22
26-Mar-13,713.64,711.25,717.41,708.5,1.71M,0.06
25-Mar-13,713.19,711.3,716.25,708.16,2.52M,-0.36
22-Mar-13,715.8,712.49,718.88,707.5,3.69M,-0.33
